,0
808,Electromechanical Equipment Assemblers
809,Engine and Other Machine Assemblers
810,Structural Metal Fabricators and Fitters
811,Fiberglass Laminators and Fabricators
812,Team Assemblers
813,Timing Device Assemblers and Adjusters
814,Bakers
815,Butchers and Meat Cutters
816,"Meat, Poultry, and Fish Cutters and Trimmers"
817,Slaughterers and Meat Packers
818,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
819,Food Batchmakers
820,Food Cooking Machine Operators and Tenders
821,"Computer-Controlled Machine Tool Operators, Metal and Plastic"
822,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
823,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
824,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
825,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
826,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
827,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
828,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
829,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
830,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
831,Machinists
832,Metal-Refining Furnace Operators and Tenders
833,"Pourers and Casters, Metal"
834,"Model Makers, Metal and Plastic"
835,"Patternmakers, Metal and Plastic"
836,Foundry Mold and Coremakers
837,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
838,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
839,Tool and Die Makers
840,"Welders, Cutters, and Welder Fitters"
841,Solderers and Brazers
842,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
843,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
844,"Layout Workers, Metal and Plastic"
845,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
846,"Tool Grinders, Filers, and Sharpeners"
847,Prepress Technicians and Workers
848,Printing Press Operators
849,Print Binding and Finishing Workers
850,Laundry and Dry-Cleaning Workers
851,"Pressers, Textile, Garment, and Related Materials"
852,Sewing Machine Operators
853,Shoe and Leather Workers and Repairers
854,Shoe Machine Operators and Tenders
855,"Sewers, Hand"
856,"Tailors, Dressmakers, and Custom Sewers"
857,Textile Bleaching and Dyeing Machine Operators and Tenders
858,"Textile Cutting Machine Setters, Operators, and Tenders"
859,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
860,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
861,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
862,Fabric and Apparel Patternmakers
863,Upholsterers
864,Cabinetmakers and Bench Carpenters
865,Furniture Finishers
866,"Model Makers, Wood"
